iter	RMSE
630	0.3084002623
631	0.3080709798
632	0.3077433199
633	0.3073320778
634	0.3067795631
635	0.3066612908
636	0.3061959768
637	0.3059001279
638	0.3054835572
639	0.3052388496
640	0.3045852463
641	0.3043175023
642	0.3041580447
643	0.3036353973
644	0.3033673981
645	0.3026289767
646	0.3021142325
647	0.3018341061
648	0.301247884
649	0.3007375782
650	0.3001441922
651	0.2996046399
652	0.2992311052
653	0.2989398387
654	0.2986546191
655	0.2980929995
656	0.2976513397
657	0.2971445074
658	0.2965408157
659	0.2962087309
660	0.2957952484
661	0.2954611345
662	0.2949902794
663	0.2944868223
664	0.2941367036
665	0.2937301165
666	0.2932240855
667	0.2930397579
668	0.2926637298
669	0.2923946706
670	0.2922002265
671	0.2917180392
672	0.2915025567
673	0.2910329979
674	0.2904360842
675	0.2900785089
676	0.2896634441
677	0.2894120911
678	0.2889742846
679	0.2887530396
680	0.2881800685
681	0.2877804883
682	0.2875430031
683	0.28695322
684	0.2865643146
685	0.285953889
686	0.285643002
687	0.2853214877
688	0.28511535
689	0.2845822584
690	0.2841146696
691	0.283478085
692	0.2831995164
693	0.2828030278
694	0.2825467506
695	0.2820941329
696	0.2817053334
697	0.2813833144
698	0.2808903434
699	0.2806875187
700	0.2804165266
701	0.2801697561
702	0.2798837496
703	0.2795687766
704	0.2791733175
705	0.2788112087
706	0.278546489
707	0.2779724082
708	0.2775477549
709	0.277125159
710	0.2767428572
711	0.2763242647
712	0.2758415775
713	0.2754550043
714	0.2750267338
715	0.2746222481
716	0.2742243535
717	0.2740871148
718	0.2734501185
719	0.2729677747
720	0.2725578545
721	0.2720992966
722	0.2718261083
723	0.271591907
724	0.2712639038
725	0.2709074607
726	0.2706155234
727	0.2701275031
728	0.2696108622
729	0.2692644499
730	0.2688653634
731	0.2685668858
732	0.2683218335
733	0.267808363
734	0.2674610314
735	0.2671711249
736	0.2669755824
737	0.2665334366
738	0.2662698482
739	0.2659444583
740	0.265790468
741	0.2656013043
742	0.2650962701
743	0.2647586356
744	0.2643564101
745	0.264175949
746	0.2638922631
747	0.2635868376
748	0.2633102657
749	0.2631042779
750	0.2626210643
751	0.2620797567
752	0.2617789879
753	0.261492708
754	0.261026704
755	0.2603867208
756	0.2601296953
757	0.2598256688
758	0.2594544553
759	0.2592365799
760	0.2588452338
761	0.2585942168
762	0.2581708752
763	0.2579150733
764	0.2574392798
765	0.2569994428
766	0.2567325195
767	0.2565544007
768	0.2563181683
769	0.2559776685
770	0.2556799355
771	0.2553498959
772	0.2550409477
773	0.2549118895
774	0.2545711713
775	0.2542417038
776	0.2541194331
777	0.2538450377
778	0.2535686789
779	0.2532074794
780	0.2529632155
781	0.2526258846
782	0.2521111044
783	0.2516815437
784	0.2513121001
785	0.251108981
786	0.2507220205
787	0.2502831277
788	0.2498526017
789	0.2494636854
790	0.2490924876
791	0.2488024707
792	0.2483748426
793	0.2481193412
794	0.2478516095
795	0.2474097762
796	0.2470482323
797	0.246795146
798	0.2465187853
799	0.2464740925
800	0.2461278126
801	0.2458057154
802	0.2453522926
803	0.2453030607
804	0.2450474637
805	0.2449994933
806	0.2448628996
807	0.2447572664
808	0.2443697673
809	0.2440195959
810	0.2436429423
811	0.2433577952
812	0.2430493434
813	0.24276312
814	0.2425836903
815	0.2422444035
816	0.2419300086
817	0.2416202211
818	0.2415742678
819	0.241137175
820	0.241090082
821	0.2408177964
822	0.2404707119
823	0.2401804366
824	0.2397913945
825	0.2394529156
826	0.2391240939
827	0.2387799117
828	0.238471319
829	0.2380932432
830	0.237694559
831	0.2373314418
832	0.2370184326
833	0.2366697313
834	0.2363790727
835	0.2360808756
836	0.2357128016
837	0.2354260977
838	0.2350066786
839	0.2347194415
840	0.2344019115
841	0.2341468868
842	0.2338655269
843	0.2335890745
844	0.2333227532
845	0.2331750121
846	0.2329322751
847	0.2328776875
848	0.2326886604
849	0.2324236357
850	0.2320765084
851	0.2317015932
852	0.2314293422
853	0.2312873466
854	0.2310188604
855	0.230944296
856	0.2306033147
857	0.2304062403
858	0.2302525517
859	0.2298854418
860	0.2297827829
861	0.2294010056
862	0.2291701672
863	0.2289591199
864	0.2286813674
865	0.228583901
866	0.2283249082
867	0.2278568642
868	0.227598244
869	0.2273589452
870	0.2270560512
871	0.2267603308
872	0.2265203683
873	0.2262805497
874	0.2259750487
875	0.2257883931
876	0.2255424381
877	0.2255025905
878	0.2253708974
879	0.2250512189
880	0.2248079132
881	0.2244653135
882	0.2241083156
883	0.2237884023
884	0.2234136168
885	0.2231002969
886	0.2228403389
887	0.2225945423
888	0.2223555522
889	0.2220755692
890	0.2218097561
891	0.2215544159
892	0.2213423052
893	0.2211205994
894	0.2209237432
895	0.2206799236
896	0.2205276028
897	0.2202765458
898	0.2199556165
899	0.2197312264
900	0.2194325603
901	0.2190500038
902	0.2188159873
903	0.2185432712
904	0.2182540218
905	0.2179729912
