Customer ID,frequency,recency,T,monetary_value,CLV_BGNBD,Units Sold,Revenue,CLV_Linear,CLV_DecisionTree,CLV_XGBoost,CLV_LightGBM,CLV_CatBoost,Segment,expected_orders_90D,expected_aov,expected_revenue_90D
3,0.0,0.0,274.0,0.0,,6,29.3,1.8739892193198515,1.5700575856160297,0.9645066,0.8784369324221272,0.5857368290109308,Low,0.1537406248802351,24.510042505126265,3.7681892505792347
8,3.0,132.0,222.0,12.116666666666665,9.963974563849533,14,64.72,10.064222138372475,14.071252795590777,11.870946,10.76624213033114,10.375943132091953,Medium,0.8013606806031517,12.682422666081344,10.163194859387783
9,1.0,40.0,91.0,9.44,5.490733522857728,9,51.66,8.572043848111964,5.490733522857728,5.4610624,5.900505178846196,5.280997953770956,Medium,0.49422956573975474,11.33117286471007,5.60020064424775
20,2.0,602.0,733.0,23.314999999999998,5.731412351701714,13,59.269999999999996,5.301427306180388,5.731412351701714,5.7541575,5.608379596149601,5.825181746427383,Medium,0.24989180390340263,23.39500421206402,5.846219804880381
24,1.0,92.0,140.0,3.72,2.6081898866752566,6,8.700000000000001,3.810191706642996,2.6081898866752566,2.6104038,2.6787496286919947,2.6589806200250723,Low,0.42032580859431595,6.3289882778027575,2.660237115451391
26,2.0,141.0,451.0,13.505,3.678736232868041,9,34.88,3.805073522847193,3.678736232868041,3.728652,3.9639859866474727,3.720990746756951,Low,0.26347671545803153,14.24175183148459,3.7523699949279647
28,2.0,612.0,715.0,19.115,4.915710571615904,11,49.269999999999996,4.1808692023896095,4.915710571615904,4.941542,4.854477461968196,4.93473686261971,Medium,0.25745166375373196,19.476180562886285,5.01417508948317
30,2.0,462.0,662.0,11.765,3.2281776424141624,10,50.370000000000005,3.28761772130048,3.2281776424141624,3.2180166,3.255372594021044,2.941301927594597,Low,0.2609581852256577,12.618239176825242,3.292832796327612
32,0.0,0.0,249.0,0.0,,3,4.27,0.16858841808118097,1.0625347642413732,1.0032269,0.9387779986706868,0.6045648474116625,Low,0.1632847041768933,24.510042505126265,4.002115039812623
36,3.0,135.0,526.0,6.633333333333333,1.653571375578974,17,35.2,2.635051780377477,1.653571375578974,1.619668,1.5527752628452394,1.7574324955320035,Low,0.2264185960703319,7.449402788142212,1.6866833208535759
39,0.0,0.0,352.0,0.0,,4,14.28,-0.489802725427924,0.6878891425254019,0.62371707,0.396045375243124,0.6224181718835835,Low,0.13003749495488048,24.510042505126265,3.1872245286042626
41,1.0,391.0,460.0,2.48,1.0514643485667499,6,10.74,0.5956720875533947,1.0514643485667499,1.0484228,1.0872517119173342,1.062193744735139,Low,0.20449668926275136,5.244598612109565,1.0725030526884267
42,2.0,167.0,222.0,8.415,5.524477969267676,11,24.16,5.686382970309752,5.524477969267676,5.519616,5.305883038824601,5.325105688729586,Medium,0.593615840790462,9.492510789981091,5.6349047738071585
43,1.0,401.0,683.0,15.93,2.203473537477568,7,30.63,0.9268964338213252,2.203473537477568,2.2006392,2.343278594523993,2.2252870919541117,Low,0.1321591375920529,17.006728453701054,2.2475945657033587
44,4.0,160.0,609.0,19.185,3.136030768860632,22,82.4,7.904483742755567,3.136030768860632,3.120415,3.4181950425225223,3.1270932844468224,Low,0.1651493418447571,19.369420315585558,3.1988470170334224
45,1.0,11.0,248.0,4.42,1.3235167416122267,12,17.09,2.765979463825058,1.3235167416122267,1.3169886,1.3169071877403338,1.392778457608438,Low,0.19448714037592404,6.941143734242464,1.3499631958110796
47,0.0,0.0,151.0,0.0,,4,5.9,1.7268903130339872,1.0625347642413732,1.745212,1.7872037636271483,1.6421108979763455,Low,0.21586167816604934,24.510042505126265,5.2907789070777556
48,6.0,170.0,240.0,7.786666666666666,11.565822466053358,27,60.0,11.394238165427208,11.565822466053358,11.587435,11.98894535754105,11.629562320221071,Medium,1.4426752129377545,8.177292648234477,11.79717741254601
49,2.0,186.0,620.0,12.21,2.3536262146680436,16,33.71,1.4459056317513581,2.4025415026141186,2.3773506,2.5317729206755106,2.562266056458048,Low,0.18419998800992526,13.033447872988122,2.400760941932398
52,3.0,195.0,344.0,17.136666666666667,9.919461660511542,17,59.080000000000005,8.909744036972278,9.919461660511542,9.86547,9.815042727863998,9.801747987894474,Medium,0.5790535886764471,17.473260317252368,10.117954092582737
55,1.0,416.0,543.0,8.45,1.791737489843454,8,18.22,0.9899294233847509,1.791737489843454,1.7987471,1.7782906410860766,1.8165660085328392,Low,0.1746324034095276,10.465410147745342,1.8275997267672284
57,1.0,32.0,308.0,9.66,1.8846914976556457,12,22.67,3.1796355231685856,2.702571422589245,1.8769915,2.1683148377548713,1.9723322158505345,Low,0.16682077880141227,11.52356457959112,1.9223700177357597
59,3.0,216.0,311.0,11.973333333333334,8.101639817544658,22,54.62,8.500223737330163,8.101639817544658,8.097583,8.306696560816407,8.526592139889088,Medium,0.6586935653701784,12.545632480822146,8.263727388616656
60,2.0,34.0,252.0,27.29,9.795612749008495,15,81.26,11.922576515603996,9.795612749008495,9.761178,10.170138658324777,10.205209869199013,Medium,0.3686357996304502,27.10389088003581,9.991464487658467
62,0.0,0.0,142.0,0.0,,5,9.46,2.160889631885696,1.0625347642413732,1.7339175,1.7723805478866512,1.860645282645737,Low,0.222446783447862,24.510042505126265,5.452180117435716
64,2.0,454.0,678.0,18.68,4.722763031605937,12,42.08,3.358118185699943,4.722763031605937,4.656851,4.5187598822420565,4.551752862661409,Medium,0.2526103400441192,19.070302399221447,4.817355573811512
71,4.0,238.0,326.0,10.22,8.66882305500321,24,52.39,8.717089437602677,8.66882305500321,8.59426,8.660364897985676,8.777169830162965,Medium,0.8252333906242069,10.714901992986798,8.842294901878567
75,1.0,21.0,153.0,11.75,4.312959494857283,8,24.71,5.734230108336353,3.777356691429926,4.2356253,4.496250563811098,4.22555771710649,Medium,0.3294846292224224,13.3512858709611,4.399043474836184
76,6.0,478.0,721.0,15.493333333333334,8.99337929857183,29,110.66,11.092457913684798,8.99337929857183,9.049714,9.04880699827087,9.356778688510248,Medium,0.584157322909828,15.703946364145153,9.17357526719856
77,0.0,0.0,657.0,0.0,,5,11.59,-5.0696600328027595,0.32077864027662517,0.1790657,0.13384892909038967,0.21855076527403128,Low,0.08115610908802051,24.510042505126265,1.9891396832980466
79,1.0,1.0,351.0,6.17,0.9545729666214889,9,14.68,1.232301418061574,0.9545729666214889,0.9538703,0.7891429865912417,1.0715803690715235,Low,0.11493342054630423,8.471532375341727,0.9736621931667824
80,0.0,0.0,671.0,0.0,,5,23.52,-4.314197246657684,0.31599932901172306,0.12916777,0.10459294751057749,0.26056638256380626,Low,0.07978011387582098,24.510042505126265,1.9554139821601861
81,0.0,0.0,333.0,0.0,,3,4.7,-1.004141093509416,0.6878891425254019,0.7462174,0.642232301943242,0.587863833448294,Low,0.13511050676778594,24.510042505126265,3.311564263767583
87,0.0,0.0,196.0,0.0,,4,18.15,2.0624954480322315,1.0625347642413732,1.1749551,1.1809878754006355,1.0449415269693052,Low,0.18804534863467845,24.510042505126265,4.608999487927256
